Player,Diff,KD,Rating
SwedenSapec,-523,0.96,0.97
Polandbnox,-233,0.97,0.97
RussiakUcheR,-145,0.99,0.97
BulgariaSPELLAN,-364,0.99,0.97
RussiaBoombl4,-644,0.97,0.97
BrazilSHOOWTiME,-529,0.97,0.97
Thailandstk,-223,0.98,0.97
Finlanddoto,-410,0.97,0.97
Polandoskarish,-423,0.98,0.97
Brazilf4stzin,-331,0.96,0.97
Swedenisak,-200,0.98,0.97
SpainSOKER,-442,0.96,0.97
FranceDEVIL,-291,0.97,0.97
UnitedStatesbrett,-454,0.95,0.97
DenmarkQueenix,-214,0.98,0.97
Hungarygabesson,-264,0.97,0.97
ThailandMAIROLLS,-226,0.97,0.97
BrazilPKL,-441,0.98,0.97
AustraliaMayker,-220,0.97,0.97
Ukrainebyr9,-202,0.98,0.97
FinlandKHRN,-245,0.98,0.97
DenmarkKristou,-372,0.97,0.97
UnitedStatesreltuC,-74,1.00,0.97
DenmarkPR1mE,-393,0.97,0.96
PolandHyper,-167,0.99,0.96
Denmarkkraghen,-309,0.97,0.96
BrazilLUCAS1,-474,0.97,0.96
